gid,role,role_score,cluster_id,priority_score,evidence
100000000011452100,peripheral,0.2857,1,0.3354,"«периферийный» 0,29: признаки ниже порога. Ближайший — конечный получатель 0,43: исходящие — 15% наблюдаемых входящих; плательщиков: 3, получено 110 000 ₸; окно после 90% суммы — 6 дн. (нужно 7)."
100000000018102100,peripheral,0.4643,3,0.0442,"«периферийный» 0,46 (снижено: исходящие не собирались): признаки ниже порога. Ближайший — консолидатор 0,07: разных плательщиков: 1 (порог 7), получено 7 000 ₸."
100000000031787100,peripheral,0.9000,11,0.2741,"«периферийный» 0,90: исходящие = 100% входящих, но это встречные или более ранние переводы — транзит датами не подтверждён."
100000000041368100,peripheral,0.7500,4,0.3562,"«периферийный» 0,75: признаки ниже порога. Ближайший — конечный получатель 0,25: исходящих нет; плательщиков: 1, получено 160 000 ₸: ниже порога накопления."
100000000076451100,peripheral,0.7150,15,0.3125,"«периферийный» 0,71: признаки ниже порога. Ближайший — транзит 0,29: после поступлений другим счетам ушло 46% полученного (коридор 80%–120%); всего исходящих 66%."
100000000089154100,distributor,0.5833,1,0.6452,"Гипотеза «распределитель» 0,58: разных получателей: 15 (порог 10), отправлено 425 500 ₸. Альтернатива: координатор 0,33."
100000000190228100,peripheral,0.9286,18,0.2456,"«периферийный» 0,93: признаки ниже порога. Ближайший — консолидатор 0,07: разных плательщиков: 1 (порог 7), получено 5 000 ₸."
100000000201868100,peripheral,0.9286,55,0.2370,"«периферийный» 0,93: исходящие = 100% входящих, но это встречные или более ранние переводы — транзит датами не подтверждён."
100000000254336100,peripheral,0.6141,1,0.2493,"«периферийный» 0,61: признаки ниже порога. Ближайший — транзит 0,39: после поступлений другим счетам ушло 62% полученного (коридор 80%–120%)."
100000000267734100,peripheral,0.6500,11,0.4047,"«периферийный» 0,65: признаки ниже порога. Ближайший — распределитель 0,35: разных получателей: 7 (порог 10), отправлено 282 000 ₸."
100000000274067100,peripheral,0.8333,11,0.4319,"«периферийный» 0,83: признаки ниже порога. Ближайший — координатор 0,17: связей с исходными клиентами: 1 (порог 3); от них 1, к ним 0."
100000000287768100,peripheral,0.4286,1,0.1494,"«периферийный» 0,43: признаки ниже порога. Ближайший — конечный получатель 0,14: исходящих нет; плательщиков: 1, получено 35 168 ₸; окно после 90% суммы — 4 дн. (нужно 7)."
100000000288317100,peripheral,0.7094,3,0.2865,"«периферийный» 0,71: признаки ниже порога. Ближайший — транзит 0,29: после поступлений другим счетам ушло 46% полученного (коридор 80%–120%); всего исходящих 54%."
100000000291906100,peripheral,0.8462,50,0.3415,"«периферийный» 0,85: признаки ниже порога. Ближайший — транзит 0,15: после поступлений другим счетам ушло 25% полученного (коридор 80%–120%); всего исходящих 117%."
100000000291908100,peripheral,0.4367,50,0.2983,"«периферийный» 0,44: признаки ниже порога. Ближайший — конечный получатель 0,13: исходящие — 5% наблюдаемых входящих; плательщиков: 1, получено 295 500 ₸; окно после 90% суммы — 3 дн. (нужно 7)."
100000000297649100,peripheral,0.9286,3,0.2129,"«периферийный» 0,93: признаки ниже порога. Ближайший — консолидатор 0,07: разных плательщиков: 1 (порог 7), получено 40 000 ₸."
100000000299820100,peripheral,0.4643,3,0.0524,"«периферийный» 0,46 (снижено: исходящие не собирались): признаки ниже порога. Ближайший — консолидатор 0,07: разных плательщиков: 1 (порог 7), получено 10 000 ₸."
100000000307908100,peripheral,0.7500,43,0.0367,"«периферийный» 0,75: признаки ниже порога. Ближайший — конечный получатель 0,25: исходящих нет; плательщиков: 1, получено 5 000 ₸: ниже порога накопления."
100000000331309100,distributor,1.0000,7,0.6798,"Гипотеза «распределитель» 1,00: разных получателей: 99 (порог 10), отправлено 23,0 млн ₸. Альтернатива: консолидатор 0,36."
100000000332284100,consolidator,0.6154,7,0.5176,"Гипотеза «консолидатор» 0,62: разных плательщиков: 10 (порог 7), получено 107 426 ₸. Альтернатива: распределитель 0,15."
100000000343175100,distributor,0.8500,12,0.7886,"Гипотеза «распределитель» 0,85: разных получателей: 31 (порог 10), отправлено 4,0 млн ₸. Альтернатива: консолидатор 0,54."
